Месяц,Квартиры₽/м²,"Вторичка

новостройки
₽/м²",Дома₽,Земля₽/сотка,"Аренда 1-комн.

2-комн.
₽/месяц"
Март,424 9062 000 объявлений,"411 9441 627 объявлений
555 506343 объявления",162 872 59851 объявление,589 0988 объявлений,"45 15843 объявления
83 27934 объявления"
Апрель,423 3322 060 объявлений,"409 3081 675 объявлений
552 137357 объявлений",153 734 70152 объявления,929 3628 объявлений,"43 77652 объявления
77 27329 объявлений"
Май,418 1961 962 объявления,"412 9851 659 объявлений
520 119278 объявлений",148 936 89852 объявления,706 9759 объявлений,"34 41540 объявлений
74 46930 объявлений"
Июнь,416 309801 объявление,"389 862597 объявлений
522 769194 объявления",50 425 01310 объявлений,754 3249 объявлений,"30 17942 объявления
50 70624 объявления"
Июль,419 033789 объявлений,"391 155585 объявлений
509 728194 объявления",32 148 5368 объявлений,754 3249 объявлений,"65 96411 объявлений
65 93820 объявлений"
Август,429 326783 объявления,"392 513537 объявлений
500 587234 объявления",34 708 9207 объявлений,836 32310 объявлений,"61 5717 объявлений
80 21021 объявление"
Сентябрь,417 080731 объявление,"388 840496 объявлений
518 093223 объявления",39 625 0006 объявлений,673 90911 объявлений,"52 525104 объявления
74 50594 объявления"
Октябрь,427 942593 объявления,"394 113428 объявлений
573 200154 объявления",39 625 0006 объявлений,673 90911 объявлений,"36 663431 объявление
53 47796 объявлений"
Ноябрь,429 848589 объявлений,"385 210402 объявления
534 760180 объявлений",38 833 3345 объявлений,673 90911 объявлений,"37 101548 объявлений
54 727167 объявлений"
Декабрь,424 483467 объявлений,"399 902135 объявлений
498 260328 объявлений",23 666 6673 объявления,876 9588 объявлений,"41 518279 объявлений
73 120134 объявления"
